"Actual","Forecast","Error","R2_24","RMSE_24","MAE_24","NRMSE_24"
229,154.928385416667,74.0716145833333,0.707805475668453,362.241602917138,248.159697102177,41.9432724919518
176,112.944791666667,63.0552083333334,0.707805475668453,362.241602917138,248.159697102177,41.9432724919518
149,84.7544270833333,64.2455729166667,0.707805475668453,362.241602917138,248.159697102177,41.9432724919518
93,58.9678385416667,34.0321614583333,0.707805475668453,362.241602917138,248.159697102177,41.9432724919518
55,66.095703125,-11.095703125,0.707805475668453,362.241602917138,248.159697102177,41.9432724919518
71,92.4662388392857,-21.4662388392857,0.707805475668453,362.241602917138,248.159697102177,41.9432724919518
159,260.1484375,-101.1484375,0.707805475668453,362.241602917138,248.159697102177,41.9432724919518
306,611.485026041667,-305.485026041667,0.707805475668453,362.241602917138,248.159697102177,41.9432724919518
329,322.964973958333,6.03502604166664,0.707805475668453,362.241602917138,248.159697102177,41.9432724919518
354,315.975,38.025,0.707805475668453,362.241602917138,248.159697102177,41.9432724919518
431,567.030208333333,-136.030208333333,0.707805475668453,362.241602917138,248.159697102177,41.9432724919518
605,497.053645833333,107.946354166667,0.707805475668453,362.241602917138,248.159697102177,41.9432724919518
771,573.169921875,197.830078125,0.707805475668453,362.241602917138,248.159697102177,41.9432724919518
1025,607.825390625,417.174609375,0.707805475668453,362.241602917138,248.159697102177,41.9432724919518
1238,693.2046875,544.7953125,0.707805475668453,362.241602917138,248.159697102177,41.9432724919518
1285,710.486458333333,574.513541666667,0.707805475668453,362.241602917138,248.159697102177,41.9432724919518
1197,743.372916666667,453.627083333333,0.707805475668453,362.241602917138,248.159697102177,41.9432724919518
920,782.585807291667,137.414192708333,0.707805475668453,362.241602917138,248.159697102177,41.9432724919518
630,759.392057291667,-129.392057291667,0.707805475668453,362.241602917138,248.159697102177,41.9432724919518
631,597.332552083333,33.6674479166667,0.707805475668453,362.241602917138,248.159697102177,41.9432724919518
588,550.906380208333,37.0936197916666,0.707805475668453,362.241602917138,248.159697102177,41.9432724919518
516,600.073251488095,-84.0732514880954,0.707805475668453,362.241602917138,248.159697102177,41.9432724919518
215,588.406770833333,-373.406770833333,0.707805475668453,362.241602917138,248.159697102177,41.9432724919518
161,308.75625,-147.75625,0.707805475668453,362.241602917138,248.159697102177,41.9432724919518
118,291.665104166667,-173.665104166667,0.707805475668453,362.241602917138,248.159697102177,41.9432724919518
95,243.039322916667,-148.039322916667,0.707805475668453,362.241602917138,248.159697102177,41.9432724919518
