"Actual","Forecast","Error","R2_24","RMSE_24","MAE_24","NRMSE_24"
0.01,0.0755621659564353,-0.0655621659564353,0.51410590463236,0.672525625079166,0.462943906105806,54.1369186596837
0,0.100499734007783,-0.100499734007783,0.51410590463236,0.672525625079166,0.462943906105806,54.1369186596837
0.25,0.324937855629152,-0.0749378556291523,0.51410590463236,0.672525625079166,0.462943906105806,54.1369186596837
0.86,0.756376260129688,0.103623739870312,0.51410590463236,0.672525625079166,0.462943906105806,54.1369186596837
1.35,1.08035827830459,0.26964172169541,0.51410590463236,0.672525625079166,0.462943906105806,54.1369186596837
1.68,0.973990206933052,0.706009793066947,0.51410590463236,0.672525625079166,0.462943906105806,54.1369186596837
1.79,1.25737736551277,0.532622634487227,0.51410590463236,0.672525625079166,0.462943906105806,54.1369186596837
1.69,1.21971849468954,0.470281505310457,0.51410590463236,0.672525625079166,0.462943906105806,54.1369186596837
1.37,1.14799922617588,0.222000773824122,0.51410590463236,0.672525625079166,0.462943906105806,54.1369186596837
0.92,0.750501758979375,0.169498241020625,0.51410590463236,0.672525625079166,0.462943906105806,54.1369186596837
0.36,0.293634147913996,0.0663658520860039,0.51410590463236,0.672525625079166,0.462943906105806,54.1369186596837
0.01,0.0681556062960835,-0.0581556062960835,0.51410590463236,0.672525625079166,0.462943906105806,54.1369186596837
0,0.0726059232969273,-0.0726059232969273,0.51410590463236,0.672525625079166,0.462943906105806,54.1369186596837
0.22,0.329202742614676,-0.109202742614676,0.51410590463236,0.672525625079166,0.462943906105806,54.1369186596837
0.63,0.921662998496252,-0.291662998496252,0.51410590463236,0.672525625079166,0.462943906105806,54.1369186596837
0.73,1.33115644676527,-0.601156446765266,0.51410590463236,0.672525625079166,0.462943906105806,54.1369186596837
0.64,1.60264181608322,-0.962641816083222,0.51410590463236,0.672525625079166,0.462943906105806,54.1369186596837
0.79,1.50146932863144,-0.711469328631438,0.51410590463236,0.672525625079166,0.462943906105806,54.1369186596837
1.27,1.54090523836803,-0.270905238368029,0.51410590463236,0.672525625079166,0.462943906105806,54.1369186596837
1.23,1.58890466861897,-0.358904668618965,0.51410590463236,0.672525625079166,0.462943906105806,54.1369186596837
0.51,1.12189056384793,-0.611890563847927,0.51410590463236,0.672525625079166,0.462943906105806,54.1369186596837
0.18,0.420952340977932,-0.240952340977932,0.51410590463236,0.672525625079166,0.462943906105806,54.1369186596837
0,0.0766432551097181,-0.0766432551097181,0.51410590463236,0.672525625079166,0.462943906105806,54.1369186596837
0,0.12573471926822,-0.12573471926822,0.51410590463236,0.672525625079166,0.462943906105806,54.1369186596837
0.24,0.308863834376521,-0.0688638343765213,0.51410590463236,0.672525625079166,0.462943906105806,54.1369186596837
0.81,0.829039746219268,-0.0190397462192684,0.51410590463236,0.672525625079166,0.462943906105806,54.1369186596837
1.27,1.18700070865323,0.082999291346769,0.51410590463236,0.672525625079166,0.462943906105806,54.1369186596837
1.34,1.57756496739321,-0.237564967393208,0.51410590463236,0.672525625079166,0.462943906105806,54.1369186596837
1.78,1.66550713930255,0.114492860697451,0.51410590463236,0.672525625079166,0.462943906105806,54.1369186596837
1.76,1.69764555455395,0.0623544454460467,0.51410590463236,0.672525625079166,0.462943906105806,54.1369186596837
1.44,1.51475366988279,-0.074753669882792,0.51410590463236,0.672525625079166,0.462943906105806,54.1369186596837
0.99,1.04132858903552,-0.0513285890355224,0.51410590463236,0.672525625079166,0.462943906105806,54.1369186596837
0.41,0.420715618024106,-0.0107156180241063,0.51410590463236,0.672525625079166,0.462943906105806,54.1369186596837
0.01,0.0670279798716981,-0.0570279798716981,0.51410590463236,0.672525625079166,0.462943906105806,54.1369186596837
